English,Afrikaans
reasons,redes 
jena,jena 
witness,getuie 
since,vandat 
plants,plante 
ludwig,ludwig 
on,on 
finish,voltooi 
looked,gekyk 
lane,lane 
interrupt,onderbreek 
writer,skrywer 
value,waarde 
type,tipe 
bride,bruid 
widow,weduwee 
ships,skepe 
recently,onlangs 
thousand,duisend 
brave,dapper 
donate,skenk 
deed,daad 
belong,hoort 
stella,stella 
against,daarteen 
segerstedt,segerstedt 
mouthain,mondain 
risk,risiko 
jans,jans 
salvation,heil 
Warsaw,warskou 
Clement,clement 
difficult,moeilike 
regions,streke 
factory,fabriek 
lovely,lieflik 
agents,agente 
chase,jaag 
teacher,juffrou 
lazy,lui 
en,ene 
complete,volkome 
nine,nege 
child,kindjie 
most important,belangrikste 
drink,drankie 
staff,personeel 
crown,kroon 
bare,kaal 
identity,identiteit 
domestic,binnelandse 
dreams,drome 
hurry,haas 
lied,gelieg 
England,engeland 
require,vereis 
unjust,onreg 
company,geselskap 
adele,adele 
past,afgelope 
forbidden,verbode 
something,so-iets 
Bennie-Boy,bennie-boy 
construction,bouwerk 
precious,dierbaar 
ammunition,ammunisie 
Council,raad 
exchange,ruil 
shatter,verpletter 
To school,skooltoe 
must,must 
#VALUE!,#VALUE!
countries,lande 
organized,gereël 
stopped,opgehou 
October,oktober 
ser,sir 
bored,verveeld 
favorite,gunsteling 
humpback,boggelrug 
translation,vertaling 
snow,sneeu 
gracious,genadig 
mean,gemeen 
surround,omring 
Guardian,guardian 
shout,skreeu 
Thursday,donderdag 
direct,direk 
euh,euh 
blame,blameer 
collect,versamel 
cousin,neef 
owner,eienaar 
killed,doodgemaak 
desire,begeer 
camera,kamera 
stories,stories 
portrait,portret 
deck,dek 
film,films 
north,noorde 
documents,dokumente 
wet,nat 
wolf,wolf 
kingdom,koninkryk 
oath,eed 
contract,kontrak 
taia,taia 
defraud,bedreig 
places,plekke 
knees,knieë 
free,verniet 
smooth,glad 
half,halwe 
claim,eis 
America,amerika 
highest,hoogste 
wisdom,wysheid 
ahead,vooruit 
face,aangesig 
simple,eenvoudige 
sung,gesing 
testimony,getuienis 
field,veld 
matter,makeer 
target,teiken 
chess,skaak 
antoine,antoine 
impress,beïndruk 
farmer,boer 
state security,staatsveiligheid 
shift,skof 
Maya,maja 
much,veels 
pustic,pustë 
compare,vergelyk 
memory,geheue 
bon,bon 
painting,skildery 
nightly,snags 
file,lëer 
honor,vereer 
canada,kanada 
Paul,paulus 
Lane,baan 
ghost,spook 
backboard,bakboord 
FBI,fbi 
boltin,boutin 
famous,beroemde 
lights,ligte 
disaster,ramp 
youth,jeug 
on the way,onderweg 
chazes,chazes 
move,skuif 
bet,wed 
all,all 
gauthier,gauthier 
shall,shall 
security,sekuriteit 
society,samelewing 
honorable,eerbare 
actors,akteurs 
on behalf of,namens 
pass,verloop 
orphanage,weeshuis 
opposite,oorkant 
spain,spanje 
change,verandering 
oil,olie 
furious,woedend 
cavalier,kavalier 
letters,letters 
take out,uithaal 
younger,jonger 
Excellency,eksellensie 
occoto,okkoto 
bricks,stene 
conscious,bewus 
urges,dring 
motor,motor 
conquer,verower 
wild,wilde 
bath,bad 
available,beskikbaar 
tailor,kleremaker 
hired,gehuur 
cook,kok 
conceal,verberg 
telegraph,telegrafeer 
reasonable,redelik 
White,witek 
for example,byvoorbeeld 
relieved,verlig 
amnesty,amnestie 
reaction,reaksie 
unfair,onregverdig 
Giants,reuse 
take,saamneem 
elder,ouer 
backward,agteruit 
American,amerikaanse 
color,kleur 
palmer,palmer 
somewhere,iewers 
stood,gestaan 
sync,sync 
mock,spot 
cute,oulike 
sausage,wors 
radio,radio 
suffered,gely 
thereby,daardeur 
principal,skoolhoof 
Rudolstadt,rudolstadt 
care for,versorg 
reward,beloning 
Francesca,francesca 
warning,waarskuwing 
ourselves,onsself 
dorus,dorus 
cupboard,kas 
dreamed,gedroom 
Italy,italië 
answered,geantwoord 
astray,verdwaal 
solution,oplossing 
weakness,swakheid 
on top,bokant 
face,aandoen 
your,your 
political,politieke 
perform,optree 
ballore,baltimore 
Gates,hekke 
deputy,onderoffisier 
supervision,toesig 
research,navorsing 
worry,bekommer 
whore,hoer 
mortgage,verband 
sword,swaard 
Europe,europa 
cheap,goedkoop 
veins,are 
batthyani,batthyani 
desire,begeerte 
posto,nago 
ll,ll 
paddy,pappatjie 
moro,moro 
demon,demoon 
pastor,pastoor 
bicycle,fiets 
now,now 
Uylenburgh,uylenburgh 
with,with 
say,say 
animal,dier 
good,goethe 
solidatity,solidatiteit 
insult,belediging 
set up,opgestel 
sofia,sofia 
useless,nutteloos 
will,will 
tremendous,geweldige 
seal,rob 
dictionary,woordeboek 
achieve,gehaal 
distance,afstand 
dress,aantrek 
nerves,senuwees 
via,via 
patience,geduld 
el,el 
disturb,versteur 
arrived,aangekom 
unknown,onbekende 
however,egter 
innocent,onskuldige 
dare,daag 
shelter,skuiling 
close,toemaak 
oldest,oudste 
pardon,pardon 
member,lid 
roads,paaie 
innocent,onskuldig 
design,ontwerp 
code,kode 
space,ruimte 
private,private 
tribe,stam 
island,eiland 
protection,beskerming 
boyfriends,kêrels 
represent,verteenwoordig 
thoughts,gedagtes 
surround,omsingel 
see,aanskou 
bend,buig 
save,spaar 
fled,gevlug 
jail,tronktoe 
ha,ha 
watch,dophou 
tree,boom 
tracks,spore 
drown,verdrink 
episode,episode 
stink,stink 
many,vele 
lion,leeu 
cell,sel 
thought,gedagte 
aircraft,vliegtuig 
there,daarheen 
interrogation,ondervraging 
weak,flou 
gogh,gogh 
informed,ingelig 
Christmas,kersfees 
jerska,jerska 
prepared,bereid 
tie,das 
action,aksie 
wiesler,wiesler 
Christa,christa 
refused,geweier 
ate,ge-eet 
tense,gespanne 
philippe,philippe 
Qélus,qélus 
Henri,henri 
step,trap 
audition,oudiënsie 
mask,masker 
wound,wond 
tanks,tenks 
lute,luit-kol 
bags,sakke 
do,do 
marguerit,margueritte 
thanks,danke 
soup,sop 
soul,sieland 
sound,klank 
sorrow,smart 
frau,frau 
Mathias,mathias 
Sunday,sondag 
finish,klaarmaak 
current,huidige 
breathe,asemhaal 
modest,beskeie 
madams,madamme 
coast,kus 
atmosphere,atmosfeer 
base,basis 
millions,miljoene 
drag,sleep 
calmness,kalmte 
further,verdere 
halt,halt 
nemorino,nemorino 
fame,roem 
mix,meng 
right,regterhand 
idiots,idiote 
Wilhelm,wilhelm 
faust,faust 
Egypt,egipte 
gretchen,gretchen 
company,maatskappy 
pupils,leerlinge 
confess,bely 
commander,bevelvoerder 
gate,hek 
heard,verneem 
grip,vashou 
hide,wegkruip 
suspend,ophang 
provisional,voorlopig 
hopeless,hopeloos 
chat,gesels 
take,inneem 
effect,effek 
cry,gehuil 
fingers,vingers 
farmers,boere 
poem,gedig 
daddy,pappie 
through,dwarsdeur 
brothers,broers 
mouth,bek 
all day,heeldag 
progress,vorder 
cheese,kaas 
cost,koste 
clock,klok 
airport,vliegveld 
environment,omgewing 
yusef,yusef 
vodka,vodka 
commit,pleeg 
leeks,preie 
molière,molière 
Tim,tim 
agnes,agnes 
navy,navy 
precaution,vance 
Saturday,saterdag 
delilah,delilah 
pension,pensioen 
Iran,iran 
poet,digter 
opinion,opinie 
morten,morten 
attack,toeval 
detained,aangehou 
slightly,effens 
warned,gewaarsku 
francine,francine 
pope,poussin 
national,nasionale 
dr.,dr. 
station,stasi 
poor,armes 
bless,sëen 
position,stand 
bladder,blaas 
shit,stront 
gold,goud 
stairs,trappe 
indeed,voorwaar 
rank,rang 
course,kursus 
despise,verafsku 
cities,stede 
fight,beveg 
painters,skilders 
fiancée,verloofde 
press,pers 
more important,belangriker 
meantime,intussen 
May,mei 
sheep,skape 
socialism,sosialisme 
access,toegang 
tears,trane 
monkeys,ape 
shears,schepen 
bat,vlermuis 
st.,st. 
jewels,juwele 
dam,dambodem 
still,nogtans 
wagard,toemaar 
thick,dik 
Afghanistan,afghanistan 
twin,tweeling 
education,opvoeding 
curious,nuuskierig 
sly,skelm 
decay,verval 
friendly,vriendelik 
height,hoogte 
tour,toer 
extraordinary,buitengewoon 
cheater,bedrieër 
sympathy,simpatie 
painful,pynlik 
bear,beer 
improve,verbeter 
strength,sterkte 
Tuesday,dinsdag 
consequences,gevolge 
goat,bok 
knife,mes 
Konowsky,konowsky 
böckl,böckl 
file,lêer 
public,openbare 
swore,gesweer 
one side,eenkant 
accidental,toevallig 
skin,vel 
dirty,vies 
chase away,wegjaag 
hundreds,honderde 
orchestra,orkes 
regularly,gereeld 
kees,kees 
darkness,duisternis 
undress,uittrek 
come,come 
direction,rigting 
spouse,eggenoot 
Jerome,jerome 
agreed,ooreengekom 
tragedy,tragedie 
frank,franks 
fraud,bedrog 
dinner,dinee 
midnight,middernag 
brave,braaf 
Leon,leon 
overcome,oorkom 
discovered,uitgevind 
upright,regop 
saved,gespaar 
happenings,gebeure 
trade,handel 
absurd,absurd 
ducky,ducky 
Thomas,thomas 
call,oproep 
brain,brein 
commit,begaan 
worship,aanbid 
act,toneelspel 
single,enkel 
châtillon,châtillon 
arrested,gearresteer 
consider,oorweeg 
pacepoil,passepoil 
Chinese,chinese 
proclaim,verkondig 
notify,inlig 
wounded,gewond 
bottle,bottel 
socialist,sosialistiese 
memories,herinneringe 
Innsbruck,innsbruck 
link,linkmann 
mononoke,mononoke 
ocean,oseaan 
mossad,mossad 
genl,genl 
jurgen,jurgen 
foreign,buitelandse 
heavenly,hemelsnaam 
bar,kroeg 
sebastian,sebastian 
kaiser,kaiser 
stood up,opgestaan 
pyramids,piramides 
ability,vermoë 
Maren,maren 
divorced,geskei 
Cornelis,cornelis 
rare,raar 
london,london 
plant,plant 
mission,missie 
toast,heildronk 
inherit,erflating 
comfortable,gemaklik 
gifted,begaafd 
praise,loof 
unit,eenheid 
shallow,vlak 
joe,joe 
concert,konsert 
stomach,maag 
joined,aangesluit 
reputation,reputasie 
replace,vervang 
cruel,wreed 
Amsterdam,amsterdam 
lara,lara 
frenzy,waansin 
lips,lippe 
statement,verklaring 
toilet,toilet 
beard,baard 
aurora,aurora 
mars,mars 
fantastic,fantasties 
adapt,aanpas 
indeed,inderdaad 
empty,leë 
currently,tans 
show,vertoon 
beats,slae 
dinner,aandete 
persons,persone 
fountain,fontein 
theory,teorie 
faces,gesigte 
funeral,begrafnis 
saskia,saskia 
students,studente 
medal,medalje 
report,rapporteer 
Hansi,hansi 
kaspar,kaspar 
Lord,lord 
salt,sout 
weigh,weeg 
cancelled,gekanselleer 
daily,daagliks 
high school,hoërskool 
burnt,gebrand 
die,sterwe 
smarter,slimmer 
teach,onderrig 
newest,nuutste 
sabine,sabine 
western,westerse 
accused,beskuldigde 
half -hour,halfuur 
pants,broek 
body,lyf 
smaller,kleiner 
safe,veilige 
martha,martha 
guess,raai 
madeleine,madeleine 
rope,tou 
aviv,aviv 
sister,sussie 
contrary,teendeel 
charm,sjarme 
remarkable,merkwaardig 
Hendrickje,hendrickje 
planet,planeet 
conspiracy,sameswering 
imprisoned,gevange 
hidden,weggesteek 
jethro,jethro 
eternity,ewigheid 
Christa-Maria,christa-maria 
prayers,gebede 
together,tesame 
party,partytjie 
shower,stort 
advice,advies 
cello,tjello 
audition,oudisie 
serge,serge 
best,bes 
life,life 
good,good 
anniversary,herdenking 
avenge,wreek 
sister,sus 
couple,paartjie 
secnav,secnav 
impression,indruk 
am,am 
revolution,revolusie 
tonight,vannag 
jojo,jojo 
senator,senator 
Hugues,hugues 
jarvis,jarvis 
ghosts,spoke 
chapter,hoofstuk 
misery,ellende 
worst,slegste 
character,karakter 
laughter,gelag 
force,dwing 
leak,lek 
crowd,skare 
embrace,omhels 
prost,prost 
works,werke 
whole,geheel 
remain,oorbly 
blanket,kombers 
pieces,stukke 
placed,geplaas 
Vogelhuber,vogelhuber 
crackow,krakow 
product,produk 
hence,voortaan 
ages,eeue 
attempts,pogings 
presence,teenwoordigheid 
at,at 
burned,verbrand 
fat,vet 
stein,stein 
support,ondersteun 
signal,sein 
created,geskep 
priest,priester 
retain,behou 
offer,aanbod 
association,vereniging 
give up,opgee 
sweep,vee 
absence,afwesigheid 
free,bevry 
lack,gebrek 
arles,arles 
stone,klip 
march,marsjeer 
ideas,idees 
seduce,verlei 
criminal,kriminele 
pieces,stukkies 
nurse,verpleegster 
point,rig 
themselves,hulleself 
accompany,begelei 
weekend,naweek 
generate,opwek 
Acquire,bekom 
refer,verwys 
tonight,vannaand 
seldom,selde 
Mobile,selfoon 
lois,lois 
noise,lawaai 
yakul,yakul 
confuse,verwar 
wood,hout 
visitor,besoeker 
answer,beantwoord 
report,raporteer 
misunderstanding,misverstand 
Possenhofen,possenhofen 
provide,voorsien 
brigitte,brigitte 
moon,maan 
Cornelia,cornelia 
go through,deurgaan 
record,rekord 
system,stelsel 
beautiful,beeldskone 
concentrate,konsentreer 
führer,führer 
low,laag 
hall,saal 
cut,gesny 
drive,dryf 
zoë,zoë 
prison,gevangenis 
chair,stoel 
marks,punte 
note,nota 
charming,sjarmant 
famous,beroemd 
publish,publiseer 
knights,ridders 
pigeon,duifie 
nonsense,onsin 
others,andere 
pursue,agtervolg 
ah,ah 
attacked,aangeval 
on the contrary,inteendeel 
guarantee,waarborg 
Philips,filips 
holy,heilig 
issue,kwessie 
hit,tref 
park,park 
library,biblioteek 
passion,passie 
that,has 
xavertjie,xavertjie 
flat,plat 
listen,geluister 
shock,skok 
betrayal,verraad 
lene,lene 
shirt,hemp 
patient,pasiënt 
defeat,verslaan 
withstand,weerstaan 
hurt,beseer 
Moscow,moskou 
interest,belangstelling 
groin,liesl 
this afternoon,vanmiddag 
arrest,arres 
lamb,lam 
seed,saad 
commend,aanbeveel 
love,liefhê 
hinder,verhoed 
tübingen,tübingen 
upload,oplaai 
special,spesiaal 
kindness,goedheid 
geese,ganse 
opened,oopgemaak 
supply,verskaf 
glory,glorie 
barbarians,barbare 
market,markin 
nobles,edeles 
thief,dief 
fact,feit 
hm,hm 
rules,rëels 
musician,musikant 
rehearsal,repetisie 
knitfiel,breydel 
emotions,emosies 
text,teks 
desperate,desperaat 
doll,pop 
wide,wye 
certainty,sekerheid 
colours,kleure 
officers,offisiere 
visitors,besoekers 
crazy,gekke 
smell,reuk 
addressed,gespreek 
definitely,defnitief 
agree,saamstem 
beautiful,mooie 
rise,opstaan 
obligated,verplig 
appetit,appetit 
salvation,saligheid 
despite,spyte 
offer,aangebied 
one of these days,eersdaags 
thorough,deeglik 
released,vrygelaat 
keys,sleutels 
companies,maatskappye 
servants,bediendes 
miss,verpes 
prepare,berei 
ai,ai 
stranger,vreemdeling 
triangle,driehoek 
tinette,tinette 
order,bestel 
potatoes,aartappels 
professional,professionele 
sight,sig 
katja,katja 
Carl-Ludwig,carl-ludwig 
facts,feite 
cake,koek 
airport,lughawe 
respond,reageer 
beyond,anderkant 
give,verleen 
results,resultate 
first,eerstens 
forward,voorwaarts 
disgust,walg 
taste,proe 
backpack,rugsak 
duck,duck 
bleed,bloei 
statue,standbeeld 
well,nouja 
parties,partye 
devoted,gewy 
bucket,emmer 
search,deursoek 
shirtf,hempf 
sofie,sofie 
decline,daal 
herself,haarself 
guns,gewere 
stone,steen 
page,bladsy 
eat,dete 
machine,machteld 
healthy,gesonde 
argue,stry 
renoir,renoir 
bacon,spek 
woman,vroutjie 
shield,skild 
opera,opera 
postpone,uitstel 
flesh,vlees 
walters,walters 
woe,wee 
stay,verblyf 
East,oos 
cool,koel 
style,styl 
support,steun 
Nazi,nazi 
anxiety,angs 
only,bloot 
myself,ekself 
holes,gate 
conservatorium,konserwatorium 
temporary,tydelik 
terrify,verskrik 
Detective,speurder 
broke,stukkend 
ga,ga 
correct,korrek 
slivovitz,slivovitz 
round,vabond 
deficit,tekort 
double,dubbel 
hit,getref 
Bamberg,bamberg 
model,model 
bucks,bokke 
calb,kalb 
twelve,twaalf 
pick up,optel 
district,wyk 
shouted,geskree 
Flemish,vlaamse 
organize,organiseer 
breast,bors 
greeted,gegroet 
hi,hi 
carriage,koetsier 
illusion,illusie 
race,ras 
Hungarian,hongaar 
nod,knik 
apparently,blykbaar 
seaburger,seeburger 
Nilsson,nilsson 
once,eenkeer 
bankrupt,bankrot 
themselves,hulself 
False,vals 
browse,snuffel 
fill,vul 
comical,komies 
loss,verlies 
come with,saamkom 
successful,suksesvol 
obtain,verkry 
terrific,geweldig 
authority,gesag 
beaulieu,beaulieu 
hungarates,hongare 
pigeons,duiwe 
lap,skoot 
auvers,auvers 
fugitive,vlugteling 
fix,regmaak 
enter,ingekom 
Hungarian,hongaars 
ate,geëet 
wealth,rykdom 
summon,ontbied 
dead,dead 
report,berig 
equally,ewe 
voices,stemme 
if,if 
stiff,styf 
can,can 
discard,weggegooi 
nasty,nare 
on top,bo-op 
sequence,penning 
mission,sending 
develop,ontwikkel 
neighbor,buurman 
subject,onderwerp 
dedication,toewyding 
apart,uitmekaar 
pure,suiwer 
mendel,mendel 
Carlo,carlo 
mariechen,mariechen 
cursed,vervloekte 
receipt,ontvangs 
collaborate,saamwerk 
require,verg 
general,algemene 
medical,mediese 
miss,miss 
particular,besondere 
orphan,weeskind 
dressed,aangetrek 
accuse,beskuldig 
disturb,gesteur 
record,opneem 
Delbecq,delbecq 
nitto,nitto 
profile,profiel 
doctor,doctor 
sound,weerklink 
spiegel,spiegel 
Thank,thank 
citizen,burger 
student,student 
definition,defensie 
groom,bruidegom 
wondered,gewonder 
pig,vark 
Identify,identifiseer 
sentences,sinne 
lounge,sitkamer 
not,not 
smallest,kleinste 
handiwork,handewerk 
musicians,musikante 
seeing,siende 
okay,okay 
roomy,ruim 
honey,honecker 
Kroger,kroger 
south,suid 
room attendant,kamerbediende 
strategy,strategie 
informer,informant 
mulatschak,mulatschak 
admirers,bewonderaars 
social,sosiale 
tomato,tamatie 
Isabelle,isabelle 
cruel,wrede 
recover,terugkry 
ugly,lelik 
adieu,adieu 
scratch,krap 
shoulder,skouer 
mostly,meestal 
suffer,leed 
mademoiselle,mademoiselle 
coming,koms 
terrible,vreeslike 
play,toneelstuk 
annoy,lastig 
misanthrope,misanthrope 
private,privaat 
stare,staar 
camp,kamp 
biscuit,koekie 
cut off,afgesny 
appointed,aangestel 
future,toekomstige 
bricklayer,messelaar 
fourth,vierde 
conscience,gewete 
tail,stert 
handwriting,handskrif 
Sandra,sandra 
delegate,afgevaardigde 
size,grote 
permission,toestemming 
valley,dal 
eli,eli 
awful,aaklige 
exhausted,uitgeput 
figure,figuur 
hero,held 
storm,storm 
culture,kultuur 
liquor,drank 
cotillion,cotillion 
payment,betaling 
kettle,katelijne 
horrible,aaklig 
fate,noodlot 
longing,verlange 
cigarettes,sigarette 
rosalinde,rosalinde 
division,divisie 
bitch,teef 
burden,belas 
hats,hoede 
hit,geslaan 
brilliant,briljant 
gray,grys 
instrument,instrument 
overhand,oorhand 
schwenves,schwenke 
ordinary,gewoon 
prompt,spoedig 
gesture,gebaar 
coffin,kis 
jsoc,jsoc 
pen,pen 
gun,gun 
negotiate,onderhandel 
rise,styg 
studio,ateljee 
finland,finland 
heads,koppe 
flinc,flinck 
drunk,dronk 
Swedish,sweedse 
hague,haag 
fields,velde 
study,studeerkamer 
copy,kopie 
anybody,enigiemand 
guide,gids 
rice,rys 
bowl,bak 
starboard,stuurboord 
excite,gaande 
wig,pruik 
present,present 
pages,bladsye 
password,wagwoord 
colleagues,kollegas 
Gwijde,gwijde 
stones,klippe 
hunter,jagter 
science,wetenskap 
this morning,vanmore 
interests,belange 
organization,organisasie 
fine,fyn 
bridge,brugge 
beneath,ondertoe 
modern,moderne 
mallard,mallard 
waves,golwe 
reach,reik 
steps,stappe 
Adam,adam 
tobias,tobias 
seems,blyk 
antoinette,antoinette 
Swiss,switserse 
port,hawe 
former,voormalige 
women,vrouens 
present,teenwoordig 
fornell,fornell 
files,lêers 
Pieter,pieter 
bread,broodjies 
those,diegene 
tulip,tulp 
creature,kreatuur 
deer,takbok 
formed,gevorm 
so -called,sogenaamde 
details,besonderhede 
sailor,matroos 
treasure,skatjie 
unreasonable,onredelik 
concerned,besorgd 
cooperation,samewerking 
measure,meet 
insist,aandring 
join,aansluit 
era,era 
orphan,weesheer 
kick,skop 
witch,heks 
owe,verskuldig 
mario,mario 
gachet,gachet 
Stephanie,stephanie 
quarrel,rusie 
maupassant,maupassant 
hung,gehang 
republic,republiek 
nicolas,nicolas 
slak,lakme 
signs,tekens 
upwards,boontoe 
end,beëindig 
signature,handtekening 
desire,lus 
throne,troon 
arnaud,arnaud 
ban,verbanning 
wake,wek 
century,eeu 
reach,bykom 
more cheerful,vroliker 
Pharaoh,farao 
testify,getuig 
cover,bedek 
cup,koppie 
explode,ontplof 
advance,voorskot 
procedure,prosedure 
criminal,krimineel 
Pharaos,faraos 
cheat,verneuk 
ropes,toue 
capture,opvang 
pour,skink 
coward,lafaard 
sacrifice,opoffering 
notary,notaris 
forests,woude 
constantly,heeltyd 
interesting,interesant 
wings,vlerke 
prepared,voorbereid 
madhouse,malhuis 
considering,aangesien 
imagination,verbeelding 
but,but 
radios,radios 
gratitude,dankbaarheid 
gun,geweer 
brain,breena 
pentagon,pentagon 
fort,fort 
execution,uitvoering 
mean,meen 
headquarters,hoofkwartier 
end,be-eindig 
uh,uh 
statement,stelling 
mood,bui 
study,studie 
uniform,uniform 
if,indien 
computers,rekenaars 
world,wereld 
cash,kontant 
interrogate,ondervra 
circle,sirkel 
pregnant,swanger 
keep quiet,stilbly 
poison,gif 
dry,droog 
Euros,euros 
bells,klokke 
tender,tere 
you.,u. 
loved ones,geliefdes 
both,altwee 
wiedemann,wiedemann 
bird,voël 
gypsumers,sigeuners 
influence,invloed 
Hunchback,boggel 
collection,versameling 
tension,spanning 
coward,laf 
Catholic,katolieke 
piano,klavier 
plow,ploeg 
victor,viktor 
appear,voorskyn 
excuse me,ekskuus 
build up,opbou 
scientist,wetenskaplike 
sport,sport 
cap,kap 
classic,klassieke 
assign,opgedra 
struggle,sukkel 
grubitz,grubitz 
prevent,voorkom 
lonla,lonla 
openly,openlik 
clinic,kliniek 
production,produksie 
shocked,geskok 
acceptable,aanvaarbaar 
neighbors,bure 
pippo,pippo 
one,enetjie 
boniface,boniface 
gilbert,gilbert 
orlofsky,orlofsky 
danced,gedans 
Agree,ooreen 
fashion,mode 
result,resultaat 
vasectomy,vasektomie 
wreck,wrak 
exaggeration,oordryf 
Falke,falke 
tube,buis 
invite,uitnooi 
accompany,vergesel 
cursed,vervloek 
tease,terg 
hop,hop 
drinks,drankies 
hidden,versteek 
naughty,stout 
willing,gewillig 
go,go 
pipes,pype 
homework,huiswerk 
report,rapport 
slide,gly 
lenin,lenin 
bitter,bitter 
cms,cms 
ideal,ideaal 
eugene,eugene 
resistance,weerstand 
prof,prof 
ile,ile 
right,ré 
washed,gewas 
performance,vertoning 
lover,minnaar 
beer,biertjie 
decent,ordentlike 
Christine,christine 
privilege,voorreg 
pray,gebid 
address,toespraak 
competition,kompetisie 
announcement,aankondiging 
machine,masjien 
enlarge,vergroot 
lids,deksels 
recorded,opgeneem 
thumb,duim 
superman,superman 
document,dokument 
burski,burski 
adjacent,langsaan 
continually,aanhoudend 
can,blik 
background,agtergrond 
babble,babbel 
healing,geneser 
wander,dwaal 
inside out,agterste 
hill,heuwel 
Hanka,hanka 
lost,kwyt 
km,km 
creation,skepping 
papers,papiere 
leaves,blare 
spread,versprei 
happier,gelukkiger 
#VALUE!,#VALUE!
dig,grawe 
cupid,kupido 
tape,band 
process,verwerk 
die,vrek 
und,und 
drink,drinke 
story,verhaal 
wise,wyse 
Thunder,donder 
Schafberg-mal,schafberg-alm 
think,oordink 
suitable,geskik 
comrak,comrak 
creevy,creevy 
view,uitsig 
attitude,houding 
spring,spruit 
mariner,marinier 
maintenance,onderhoud 
yseult,yseult 
donkey,donkie 
hanna,hanna 
climb,geklim 
dawn,dagbreek 
together,aanmekaar 
goodbye,goodbye 
ari,ari 
tremble,bewe 
eject,uitgooi 
newspapers,koerante 
nights,nagte 
leave,uitlos 
chief,hoofman 
otto,otto 
flow,vloei 
vacate,ontruim 
mayor,burgemeester 
boucard,boucard 
resent,verwyt 
rag,lap 
mum,mam 
living,lewende 
shake,skud 
attempt,poging 
real,eg 
plus,plus 
Mathilde,mathilde 
chain,ketting 
dealt with,afgehandel 
break,verbreek 
go,goût 
telegraph office,telegraafkantoor 
attract,lok 
chacun,chacun 
fondle,vondel 
town hall,stadsaal 
fiery,vurige 
crowns,krone 
beggar,bedelaar 
floor,vlaminge 
marthe,marthe 
divide,verdeel 
clouds,wolke 
sway,wieg 
windows,vensters 
gathering,byeenkoms 
intelligent,intelligent 
renard,renard 
Italian,italianer 
intricate,ingewikkeld 
second,sekonde 
pleasant,aangename 
shots,skote 
built,opgebou 
whisper,fluister 
himself,hyself 
spouse,gade 
New Year,nuwejaar 
failed,mislukte 
uprising,opstand 
torment,pynig 
hopefully,hopelik 
duties,pligte 
sinner,sondaar 
seat,sitplek 
sacrifice,offer 
beautiful,beeldskoon 
spoon,lepel 
horse riding,perdry 
showed,getoon 
thunder,thunder 
copper,koper 
beloved,beminde 
gown,japon 
x,x 
mash,masha 
taxation,belasting 
forgiveness,vergifnis 
generation,generasie 
phantom,phantom 
doomed,verdoem 
unique,unieke 
trap,lokval 
chains,kettings 
midwife,vroedvrou 
rain,rëen 
olya,olya 
frosch,frosch 
good afternoon,goeiemiddag 
determined,bestem 
trained,opgelei 
services,dienste 
delicate,delikaat 
almighty,almagtige 
reinforcement,versterking 
rude,onbeskof 
vulgar,vulgêr 
Earth,aard 
tune,instem 
pamphlets,pamflette 
clumsy,lomp 
scandal,skandaal 
amount,bedrag 
direct,direkte 
yellow,geel 
judge,veroordeel 
citizens,burgers 
hardly,nouliks 
surrender,oorgegee 
adopted,aangeneem 
anonymous,anoniem 
Willem,willem 
conditions,voorwaardes 
object,voorwerp 
chewing gum,kougom 
trader,handelaar 
amaze,verstom 
swap,omruil 
Franzl,franzl 
Jacques,jacques 
dangerous,gevaarlike 
singer,sanger 
generous,vrygewig 
set,opstel 
bill,noot 
sire,sire 
approval,goedkeuring 
appeal,appel 
Italian,italiaanse 
poor,armsalige 
occupy,beset 
cloth,doek 
stroll,wandel 
rabrecht,robrecht 
wounds,wonde 
traitors,verraaiers 
lovers,minnaars 
cezanne,cezanne 
gardens,tuine 
gallant,galant 
narrow,smal 
predict,voorspel 
calf,kal-el 
jacket,baadjie 
withdraw,onttrek 
Buchenwald,buchenwald 
legal,wettige 
miracles,wonderwerke 
games,speletjies 
symbol,simbool 
tom,tom 
different,verskillende 
arizona,arizona 
study,bestudeer 
stubborn,hardkoppig 
obvious,vanselfsprekend 
human,menslik 
leaders,leiers 
cancel,kanselleer 
mornings,soggens 
financial,finansiële 
tear,skeur 
waiter,kelner 
melt,smelt 
infantry,infantrie 
Egyptian,egiptiese 
jo,jo 
labréde,labréde 
uncomfortable,ongemaklik 
lunch,middagete 
dumb,domkop 
emphasizes,beklemtoon 
hooth,hooth 
housing,behuising 
hardest,hardste 
ignore,ignoreer 
spy,spioeneer 
romins,romene 
affected,aangetas 
cough,hoes 
samples,monsters 
interpreted,begrepen 
reality,werklikheid 
evil,boos 
twenty,twintig 
toki,toki 
inventory,inventaris 
July,julie 
de,de 
sneak,sluip 
take over,oorneem 
pass,verbygaan 
noble,adelike 
lamp,lamp 
corpses,lyke 
Arrow,pyl 
dislocate,verplaas 
Oracle,oracle 
nordic,nordiese 
desert,woestyn 
residence,woning 
guest room,gastekamer 
data,data 
prussian,pruise 
cattle,beeste 
give up,opgegee 
polish,poets 
heartbeat,hartklop 
jokes,grappies 
insisted,aangedring 
infringe,oortree 
lungs,longe 
run away,weggeloop 
fever,koors 
marsman,marsman 
measure,maatsuyker 
online,aanlyn 
managed,reggekry 
